,MPIESM12,GISSE2R,IPSLCM5A,CCSM3,HadGEM2ES,CESM104,ECHAM5MPIOM,FAMOUS,CNRMCM61,HadCM3L,MPIESM11
48,4.447113,2.9454346,4.9602356,3.7638855,5.4058533,3.9753113,6.1748047,8.891418,5.778961,4.4002075,4.3116455
49,4.3980103,3.0498352,5.0500183,3.7037964,5.2970276,3.9544067,6.2495117,8.93161,5.6817017,4.4836426,4.432678
50,4.5257874,3.0338745,4.8727417,3.5747375,5.346222,3.960907,6.097168,9.03537,5.84317,4.3467407,4.3948975
51,4.5041504,2.9725342,4.8695374,3.4519958,5.282379,3.997284,6.1866455,8.960449,5.8647766,4.196289,4.325836
52,4.4174805,2.9565125,5.101837,3.6114197,5.3881226,4.107422,5.946228,9.067261,5.994812,4.2308044,4.3271484
53,4.2916565,2.9346313,5.4065857,3.6809692,5.538574,3.88797,6.347046,9.007935,5.955597,4.2598267,4.3561707
54,4.3736267,2.910614,5.2841187,3.5234985,5.5178223,3.8075867,6.59198,9.017456,5.6496277,4.2175903,4.3657837
55,4.41864,2.9948425,5.1810913,3.4649658,5.52652,3.9335022,6.0101013,9.067657,5.9704895,4.161072,4.3790894
56,4.3774414,3.086029,5.183838,3.605835,5.4023438,4.18338,6.2581787,9.248627,5.8036194,4.1614075,4.416626
57,4.6747437,3.105896,5.155243,3.698944,5.426361,4.34021,6.184723,9.334137,5.903412,4.2438354,4.363312
58,4.7229614,3.035614,5.3189087,3.5108643,5.4795227,4.0462036,6.317627,9.24118,5.782501,4.2353516,4.566437
59,4.422638,2.984192,5.1183777,3.5816345,5.493561,3.9237366,6.590393,9.30304,5.9455566,4.4452515,4.364746
60,4.393341,2.9580688,4.9996033,3.6289978,5.6442566,3.9697876,6.4030457,9.317108,5.9942017,4.239929,4.511444
61,4.3401794,3.07724,5.0200195,3.6670532,5.752594,3.9274902,6.299286,9.323639,5.8171997,4.169525,4.277405
62,4.3961487,3.0167542,5.1651,3.784546,5.692871,3.8650818,6.337158,9.237732,5.957123,4.0884094,4.1462708
63,4.408905,3.048584,5.2484436,3.8702698,5.758087,3.8910522,6.230713,9.120239,5.9105225,4.2104187,4.114685
64,4.5197144,3.0920105,5.364807,3.7371826,5.760376,4.1470337,6.3615417,9.193817,6.091858,4.50058,4.029022
65,4.680084,2.9896545,5.2285156,3.6921387,5.741638,4.215973,6.2904053,9.346161,6.053589,4.4425964,4.1918335
66,4.6838074,3.0506287,5.2728577,3.7844849,5.706024,4.0799255,6.44046,9.291901,6.061493,4.3591003,4.366699
67,4.594055,3.0189514,5.2845154,3.803955,5.669586,3.9744263,6.4684753,9.351959,6.054718,4.5983887,4.6595154
68,4.5812073,3.005005,5.354706,3.8571472,5.754669,3.942688,6.4348755,9.361511,6.037689,4.381836,4.527313
69,4.4916687,2.9362793,5.300049,3.7667236,5.714081,3.9500427,6.493408,9.571594,6.0820312,4.324066,4.4855347
70,4.37973,2.9498901,5.292816,3.7582397,5.737335,3.972107,6.5831604,9.568207,6.147888,4.4191284,4.508545
71,4.3946533,2.9668274,5.306183,3.814331,5.7089844,4.296692,6.66037,9.647827,6.0471497,4.4040833,4.448456
72,4.39209,3.0534363,5.33667,3.9404907,5.611725,4.279663,6.477295,9.639801,6.1481323,4.3746643,4.43277
73,4.3755493,3.1108093,5.361908,3.9296265,5.6066895,4.1819763,6.359131,9.618561,6.2400513,4.275055,4.349701
74,4.3244934,3.1115723,5.4298706,3.8293762,5.9504395,4.0825195,6.760071,9.670898,6.134094,4.223633,4.5071716
75,4.4949036,3.0698853,5.4040833,3.8195496,5.9043274,4.2018433,6.4219055,9.740326,6.1696167,4.467743,4.574463
76,4.6542053,3.0739746,5.36145,3.787262,5.8155518,4.294983,6.311493,9.540405,6.095398,4.555603,4.57666
77,4.6966553,3.018097,5.407318,3.884613,5.8547974,4.167511,6.720886,9.435089,6.156433,4.5798035,4.4611816
78,4.5004883,3.04068,5.2397766,3.9580688,5.8823547,4.1939087,6.646332,9.532166,6.061981,4.403137,4.5066833
79,4.6501465,3.131897,5.4381714,3.69812,5.933197,4.2825317,6.618164,9.565979,6.255707,4.352661,4.3997498
80,4.554535,3.1749878,5.275116,3.723053,5.927582,4.0494385,6.5352173,9.401123,6.2459717,4.3974,4.4656067
81,4.4470215,3.1636658,5.537689,3.666748,5.93219,4.179413,6.7719727,9.652924,6.1586914,4.545227,4.719879
82,4.4761963,3.0888977,5.5148926,3.6162415,5.816345,4.2563477,6.6953735,9.580231,6.213043,4.647766,4.4342346
83,4.580658,3.084381,5.402527,3.8283997,5.850281,4.2583923,6.5256653,9.611084,6.2936707,4.545044,4.401062
84,4.509918,3.1110535,5.3654785,3.8464966,5.9131165,4.210663,6.6131287,9.617218,6.0540466,4.5236206,4.481537
85,4.547516,3.0921936,5.4147034,3.8509827,5.9677734,4.0995483,6.5751343,9.67392,6.2948914,4.4893494,4.60141
86,4.6341248,3.1594543,5.4328613,3.72641,5.970642,4.3079224,6.6020203,9.624176,6.2929688,4.621063,4.657257
87,4.7161255,3.151062,5.5364075,3.77536,6.114258,4.423584,6.647644,9.730225,6.4234314,4.545471,4.7572937
88,4.7355347,3.1730652,5.5378723,3.7037659,6.021332,4.3948364,6.7308655,9.661774,6.264374,4.618744,4.7424316
89,4.59079,3.2170105,5.402588,3.7389832,6.0112915,4.2839966,6.680908,9.783386,6.344818,4.715454,4.5151367
90,4.565216,3.220398,5.2636414,3.83078,6.0726013,4.284363,6.779724,9.709442,6.26947,4.603546,4.4052734
91,4.4898376,3.2224426,5.513489,3.8889465,5.984131,4.4725037,6.7867126,9.689697,6.3128967,4.566742,4.6494446
92,4.571869,3.2632751,5.7123413,3.7151184,5.9691467,4.3579407,6.844696,9.697113,6.2268066,4.773102,4.7081604
93,4.5033875,3.3201294,5.637329,3.8527527,5.9243774,4.386261,6.688629,9.623413,6.322174,4.6630554,4.5814514
94,4.725525,3.303955,5.6610413,3.8448792,5.9028625,4.31546,6.7454834,9.751434,6.2343445,4.6524963,4.7099304
95,4.821289,3.269104,5.6250916,3.682434,6.060913,4.3590393,7.018524,10.030182,6.0084534,4.670685,4.5356445
96,4.7322693,3.2429504,5.3877563,3.7747803,6.054596,4.4453735,6.9276123,9.841583,6.3639526,4.638733,4.7531433
97,4.542877,3.1410828,5.3876343,3.9560547,6.059082,4.2656555,6.7795715,9.74353,6.2602234,4.691803,4.5777283
98,4.7115784,3.0768433,5.4935303,3.955902,6.0363464,4.2034607,6.8972473,9.995728,6.2167053,4.6460876,4.601471
99,4.884186,3.1598816,5.451874,3.9475098,6.1676636,4.246063,6.866394,9.984741,6.160248,4.5523987,4.6540833
100,4.762909,3.20932,5.6376953,3.9312134,6.1697083,4.4852905,6.7722473,9.954956,6.326874,4.4868164,4.7335205
101,4.6479187,3.1961365,5.4952393,3.9143677,6.25708,4.572815,7.036743,9.881073,6.2211304,4.399597,4.632324
102,4.681183,3.155304,5.4959717,3.8699646,6.1819153,4.312683,6.7898254,9.930725,6.240082,4.2851257,4.687134
103,4.676605,3.1819153,5.657837,3.77417,6.1430054,4.263214,6.6477966,9.913971,6.294281,4.3832703,4.7867126
104,4.5856934,3.2149658,5.676544,3.7618713,6.1351624,4.548279,6.6786194,10.013367,6.3997498,4.5267334,4.673462
105,4.654236,3.2060547,5.42807,3.843628,6.203583,4.7325134,6.5693665,9.940247,6.361145,4.545624,4.781769
106,4.7740173,3.2131958,5.5067444,3.9560852,6.1229553,4.396393,6.8881836,10.16983,6.479126,4.7138977,4.6693726
107,4.701782,3.2404785,5.4822083,4.1110535,6.1130066,4.248474,6.598938,9.984192,6.4559326,4.817444,4.686096
108,4.678131,3.3574524,5.6355896,3.9484558,6.2057495,4.4674683,6.631195,10.078796,6.5467834,4.745575,4.636444
109,4.8580933,3.3495483,5.652649,3.9458923,6.1770935,4.5089417,6.714264,10.128723,6.2785645,4.653717,4.6135254
110,4.630249,3.3257446,5.478058,3.908722,6.1023865,4.4045715,6.683899,9.998962,6.4613647,4.5826416,4.857849
111,4.5705566,3.3181763,5.5852966,3.8933105,6.1350403,4.3299255,6.704529,10.147034,6.418213,4.62558,4.8654785
112,4.719818,3.3706665,5.6402283,3.7792969,6.055359,4.305542,6.8863525,10.157928,6.4494934,4.6038513,4.71463
113,4.7931213,3.4007263,5.7738037,3.8395996,6.2738953,4.5756836,6.8368225,10.024658,6.4381104,4.5688477,4.640259
114,4.962616,3.39505,5.7848816,3.8252258,6.3246155,4.769989,6.8989563,10.140961,6.3231506,4.568207,4.63974
115,4.7957153,3.3752441,5.743988,3.786499,6.3009033,4.596222,6.9327393,10.0920105,6.5093384,4.699951,4.7105713
116,4.7930603,3.5254822,5.5493164,3.8468323,6.3848877,4.3578186,6.9263306,10.178986,6.495514,4.622223,4.920471
117,4.8250732,3.5039673,5.592621,3.758545,6.4318237,4.3432007,6.8378906,10.106873,6.582123,4.493469,4.8759766
118,4.8430176,3.395691,5.774048,3.6284485,6.116913,4.5391235,6.9835205,10.144531,6.512085,4.3945923,4.809845
119,4.702545,3.3585815,5.745331,3.7384949,6.1460876,4.665863,6.9604187,10.029663,6.5080566,4.432007,4.838562
120,4.9111633,3.4334717,5.7287903,3.820343,6.3173523,4.534729,6.9653625,10.254028,6.3984375,4.5346375,4.6782227
121,4.873535,3.380371,5.868805,3.9230957,6.3854675,4.5665283,7.2514954,10.13858,6.480652,4.4916077,4.6391296
122,4.7257385,3.4746704,5.822815,3.9065552,6.295532,4.499115,6.9311523,10.138977,6.490906,4.677765,4.848938
