,0,1,2,3,4,5,6,7,8,9,10
0,287.0706,287.47086,285.07755,287.31094,286.82812,286.6744,286.83594,287.66537,286.20007,287.64737,286.65024
1,287.00793,287.47226,285.0634,287.16312,286.70032,286.60867,286.44193,287.554,286.06552,287.41556,286.6166
2,287.0309,287.39124,285.1996,286.8888,286.70645,286.61945,286.35623,287.53296,286.0686,287.23138,286.7602
3,287.0869,287.4061,285.4286,286.69434,286.67926,286.794,286.2559,287.64432,285.97678,287.2443,286.87314
4,286.94925,287.48453,285.24344,286.5793,286.64255,286.89764,286.63446,287.81036,285.98907,287.53824,286.70795
5,286.9248,287.49887,285.22302,286.5457,286.68512,286.69473,287.12512,287.85126,286.06738,287.67734,286.81564
6,286.97064,287.49588,285.18723,286.4881,286.73685,286.5437,286.8611,288.06125,286.02893,287.2412,286.78705
7,287.044,287.38696,285.14166,286.4439,286.70505,286.56534,286.91,288.01694,285.90524,287.17877,286.77536
8,287.05872,287.35266,285.20856,286.36786,286.71774,286.6276,286.87793,287.79657,286.04407,287.25183,286.75244
9,287.31223,287.4208,285.15384,286.33658,286.62347,286.84735,286.62265,287.8541,285.991,287.47333,286.82526
10,287.08704,287.3547,285.13748,286.226,286.67557,287.0187,286.89728,287.70212,285.9665,287.71115,286.88928
11,286.9412,287.27686,285.10852,286.0747,286.74957,286.62457,286.8931,287.4522,285.94165,287.69708,286.98065
12,286.8608,287.46988,285.12012,286.03598,286.9166,286.2723,286.6621,287.68283,286.05252,287.7956,286.93298
13,286.97385,287.50537,285.1858,286.09775,286.93225,286.3283,286.89856,287.60223,285.94705,287.74786,286.96356
14,287.06992,287.4688,285.27673,286.07425,286.86234,286.6286,286.9877,287.82086,286.07925,287.55518,287.02844
15,287.34055,287.46497,285.1199,286.04086,286.71936,286.8546,286.71863,287.81308,286.2039,287.1714,287.0299
16,287.29755,287.52704,285.08493,286.04816,286.73743,286.56793,286.63025,287.8464,286.15213,287.10938,286.91187
17,286.98,287.45102,285.08713,286.15466,286.7228,286.45157,286.98608,288.0142,285.95285,287.22247,286.82986
18,286.72418,287.3715,285.1185,286.12503,286.7565,286.59265,286.9994,287.74893,285.93784,287.48053,286.8013
19,286.7274,287.44476,285.21692,286.10602,286.64474,286.73978,286.7194,287.80563,286.0693,287.7147,286.82745
20,286.7254,287.42896,285.26108,286.07684,286.69055,286.8542,286.6301,287.4588,285.92593,287.86395,286.77652
21,286.7904,287.40887,285.31342,286.0618,286.73627,286.57928,286.56467,287.84857,285.90054,287.70468,286.8793
22,286.87192,287.41107,285.25916,286.0076,286.64075,286.51514,286.4609,287.65424,285.97684,287.469,286.82684
23,286.8951,287.3868,285.12445,286.03314,286.71637,286.4854,286.57617,287.565,285.9276,287.46597,286.93378
24,286.92337,287.4359,285.05637,286.13437,286.65857,286.51477,286.66446,287.50198,285.88376,287.85083,287.019
25,286.94528,287.386,285.10397,286.05783,286.73056,286.71237,286.8459,287.38,286.08832,287.65927,286.8612
26,286.8522,287.49203,285.03036,286.2326,286.65555,286.68854,286.70035,287.22586,285.9708,287.49588,286.84457
27,286.90887,287.5585,285.14124,286.05466,286.9095,286.65836,286.494,287.3294,285.9916,287.60266,286.8313
28,286.94366,287.44104,285.0844,286.20795,286.9025,286.74594,286.67212,287.72626,286.13788,287.7668,286.71213
29,286.9475,287.39343,284.8784,286.05103,287.01575,286.95963,286.85696,287.68335,286.07416,287.44788,286.64484
30,286.91953,287.42105,285.0011,286.3048,286.87457,286.82443,286.44238,287.6714,286.04404,287.28137,286.498
31,286.9766,287.5084,285.16257,286.27377,286.90436,286.58386,286.42194,287.69855,286.1516,287.46753,286.58844
32,287.0248,287.5069,285.08795,286.2562,286.90652,286.6398,286.27713,287.665,286.04498,287.4976,286.7218
33,287.11493,287.4122,285.09824,286.28845,286.77383,286.8591,286.40088,287.4781,286.04083,287.42117,286.90424
34,286.96988,287.57922,285.22577,286.2593,286.6017,286.86688,286.7359,287.622,285.97632,287.48163,286.7708
